"id","nazwa","facebook_id","isPublic"
"2","Katowice Street Art Festival","100496870080847","1"
"3","Łukasz Stec - profil autorski","100851136677819","0"
"4","Festiwal Jestem Kobietą","1015122098607013","0"
"5","Katarzyna Kruszenko","10155444165992598","0"
"6","Halina Karwat","10207824070062000","0"
"7","Kasia Swinarska","10211506904857980","0"
"8","Michał Kapuściński","10211631488530938","0"
"9","KarmaJoga","1022140461133444","0"
"10","TŁO","1025839810812314","0"
"11","Reflektor. Rozświetlamy Kulturę","102727883098248","0"
"12","EMMA PAK Śląsk","103017743085356","0"
"13","Uniwerek.TV","103449799691676","0"
"14","Betlejem w Polsce","103725896776058","0"
"15","FESTIWAL SLAJDÓW PODRÓŻNICZYCH W KATOWICACH","103877806309484","0"
"16","ASP w Katowicach","105251459590505","1"
"17","MDK Bogucice - Zawodzie","105906832808140","1"
"18","Kino Światowid","106058356141695","1"
"19","Katowice - oficjalny profil miasta","107322402647170","1"
"20","Katowicki Dzień Psiaka","1075709082502138","0"
"21","Organizacja Studencka PANEUROPA","108802475817433","0"
"22","Bookszpan Katowice","109713522693196","0"
"23","Fotoedukacja","111044112273449","0"
"24","Septyma Performing Arts","111219432289675","0"
"25","Nikiszowiec - magiczne miejsce","111373052221490","0"
"26","Zespół Qklok","111655719043963","0"
"27","Silesian Jazz Festival","112421732168217","1"
"28","Watch Docs Katowice","112905145406227","0"
"29","P.W. Events - koncerty","113693138685836","0"
"30","Gospel bez Granic","114063152076594","0"
"31","Dominika Maniek","1141823495854277","0"
"32","Koło Naukowe Slawistów UŚ Światowid","114393121926058","1"
"33","Zespół Pieśni i Tańca \"Silesianie\" Uniwersytetu Ekonomicznego w Katowicach","114495271943613","1"
"34","Städtepartner Stettin e.V.","1149767301704677","0"
"35","Śląski Festiwal Nauki Katowice 2016","1158029697597752","1"
"36","Kocham Katowice","115807838488081","0"
"37","\"Camerata Silesia\" Zespół Śpiewaków Miasta Katowice","115849088478583","1"
"38","Klub Studio","116544511698923","0"
"39","Michał Kajetan","1167016626709218","0"
"40","Małe Wielkie projekty Miasta Ogrodów","117774958270708","1"
"41","Pracownia Teatralno-Impresaryjna Pałac Młodzieży w Katowicach","118225874879729","1"
