,name,description,start_time,place_name,category,street
0,Szczurołap,"Szczurołap – B. Rzymska; reż. J. Ryl-Krystianowski, scenogr. J. Skuratova, muz. R. Łuczak. Legenda o szczurołapie znana m.in. z baśni braci Grimm. Sztuka, w której walczą ze sobą dwa światy, trzyma w napięciu jak dobry kryminał. Wzbogacona ciekawą scenografią inspirowaną malarstwem Velásqueza zaciekawi dzieci w wieku szkolnym. K Teatr Ateneum, g. 9.30 i 11.30; bilety 7,50-15 zł",2015-10-01 09:30:00,Teatr Ateneum,scena,"Katowice, Św. Jana 10"
1,Czytamy na głos w teatrze,"Czytamy na głos w teatrze – spotkanie z literaturą K Teatr Bez Sceny, g. 16; wstęp wolny ",2015-10-01 16:00:00,Teatr Bez Sceny,scena,"Katowice, 3. Maja 11"
2,Ostatnie tango w Paryżu ,"Ostatnie tango w Paryżu K Teatr Śląski Scena w Malarni, g. 19.30; bilety 35 zł i 25 zł",2015-10-01 19:30:00,Teatr Śląski,scena,"Katowice, Rynek 10"
5,"Hobbit', 'Jak Rumcajs Cypiska uratował', 'Skąpiec","Narodowy Teatr Edukacji – poranne spektakle dla dzieci i młodzieży: Hobbit, g. 8.15 + Jak Rumcajs Cypiska uratował, g. 10.30 + Skąpiec, g. 12.30 K Pałac Młodzieży (sala teatralna)",2015-10-02 08:15:00,Pałac Młodzieży,scena,"Katowice, Mikołowska 26"
6,Czarny ogród,"Czarny ogród – M. Szejnert; reż. J. Głomb, adapt. K. Kopka, scenogr. i kostiumy M. Bulanda, muzyka B. Straburzyński. Wyst.: K. Błaszczyńska, A. Chechelska, A. Baumann, B. Błaszczyński i in. Wariacja sceniczna na temat jednej z najważniejszych książek o historii Górnego Śląska. K Teatr Śląski Duża Scena, g. 19; bilety 30-70 zł",2015-10-02 19:00:00,Teatr Śląski,scena,"Katowice, Rynek 10"
7,Chłopiec z łabędziem,"Chłopiec z łabędziem – I. Villqist. Wyst.: G. Bułka, E. Kutynia, V. Smolińska. Sztuka dla trzech aktorek napisana na zamówienie teatru przez Ingmara Villqista, dramatopisarza, reżysera, historyka sztuki i kuratora. Jedną z inspiracji stała się realna przestrzeń z Chorzowa. Kameralna historia rozgrywa się w mrocznym mieszkaniu. Dwie siostry próbują poukładać sobie życie. Marzą o normalności i rutynie. K Teatr Śląski Scena Kameralna, g. 19; bilety 35 zł i 30 zł",2015-10-02 19:00:00,Teatr Śląski,scena,"Katowice, Rynek 10"
12,Miłość i polityka,"Miłość i polityka – P. Sauvil; reż. M. Orski, scenogr. I. Toroniewicz, światło i dźwięk S. Brożek. Wyst.: I. Malik, D. Polasik/ B. Lubos, H. Bronicki i in. Czarne teczki, podsłuchy w ministerstwach, nagła dymisja rządu, tajne służby to rzeczywistość tej francuskiej komedii. Nie brakuje w niej również seksu, humoru i niespodziewanych zwrotów akcji. K Teatr Korez, g. 16.30 i 19; bilety 50 zł i 40 zł ",2015-10-03 16:30:00,Teatr Korez,scena,"Katowice, Pl. Sejmu Śląskiego 2 (CKK)"
13,Życie prywatne,"Życie prywatne – N. Coward; reż. M. Dewera. Wyst.: P. Chapko/ J. Schneider, M. Honzatko, L. Zduń, L. Żurek/ M. Dewera. Dwie małżeństwa, dwa miesiące miodowe i jeden wspólny taras. Co się stanie, gdy w podróży poślubnej trafiamy na swoją byłą, która także jest w podróży poślubnej? Wybuchowa mieszanka miłości, zazdrości i śmiechu. K CKK, g. 18; bilety 40 zł i 30 zł",2015-10-03 18:00:00,CKK,scena,"Katowice, Pl. Sejmu Śląskiego 2"
14,Życie męczy,"Życie męczy, reż. K. Gorczyca K Teatr Bez Sceny, g. 19; bilety 30 zł i 20 zł ",2015-10-03 19:00:00,Teatr Bez Sceny,scena,"Katowice, 3. Maja 11"
15,Mężczyzna sukcesu,"#ScenaOtwarta: Mężczyzna sukcesu – T. Jachimek; reż. A. Biernacki, muzyka K. Brochocka. Wyst.: Andrzej Gelender Jakubczyk. Śmieszno-straszna, słodko-gorzka, ostro-tkliwa i senno-realna komedia o Nim – mężczyźnie sukcesu, który każdego dnia dąży do spełnienia własnego American dream. Czyli o kimś, kogo każdy z nas dobrze zna. K Teatr Rawa, g. 19; bilety 35 zł i 25 zł",2015-10-03 19:00:00,Teatr Rawa,scena,"Katowice, Chopina 8"
16,Czarny ogród ,"Czarny ogród K Teatr Śląski Duża Scena, g. 19; bilety 30-70 zł",2015-10-03 19:00:00,Teatr Śląski,scena,"Katowice, Rynek 10"
